code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
D77,neoplasm,D.7,Malignant digestive neoplasm other/NOS,恶性消化道肿瘤其他/ＮＯＳ,Malignant digestive neopl other/NOS,恶性消化道肿瘤其他/ＮＯＳ,"all other primary malignancies of digestive system, gallbladder cancer, liver cancer",其他消化系统原发性恶性肿瘤，胆囊癌，肝癌,secondary malignancy of unknown site ,未知部位的继发性恶性肿瘤,,,benign/unspecified digestive neoplasm ,良性/未特指的消化道肿瘤,,,C00.0; C00.1; C00.2; C00.3; C00.4; C00.5; C00.6; C00.8; C00.9; C01; C02.0; C02.1; C02.2; C02.3; C02.4; C02.8; C02.9; C03.0; C03.1; C03.9; C04.0; C04.1; C04.8; C04.9; C05.0; C05.1; C05.2; C05.8; C05.9; C06.0; C06.1; C06.2; C06.8; C06.9; C07; C08.0; C08.1; C08.8; C08.9; C14.8; C15.0; C15.1; C15.2; C15.3; C15.4; C15.5; C15.8; C15.9; C17.0; C17.1; C17.2; C17.3; C17.8; C17.9; C22.0; C22.1; C22.2; C22.3; C22.4; C22.7; C22.9; C23; C24.0; C24.1; C24.8; C24.9; C26.0; C26.8; C26.9; C45.1; C45.7; C46.2; C48.0; C48.1; C48.2; C48.8
D78,neoplasm,D.7,Neoplasm digestive system benign/unspecified,消化系统肿瘤良性/未特指,Neoplasm digestive benign/unspecif,消化道良性肿瘤/未特指,benign digestive neoplasm; digestive neoplasm not specified as benign or malignant/when histology is not available; polyp of colon; polyp of duodenum; polyp of rectum; polyp of stomach,良性消化道肿瘤；未指明为良性的或恶性的消化道肿瘤/当组织学资料不可用时；结肠息肉；十二指肠息肉；直肠息肉；胃息肉,,,,,,,,,D00.0; D00.1; D00.2; D01.0; D01.1; D01.2; D01.3; D01.4; D01.5; D01.7; D01.9; D10.0; D10.1; D10.2; D10.3; D10.4; D10.5; D10.6; D10.7; D10.9; D11.0; D11.7; D11.9; D12.0; D12.1; D12.2; D12.3; D12.4; D12.5; D12.6; D12.7; D12.8; D12.9; D13.0; D13.1; D13.2; D13.3; D13.4; D13.5; D13.6; D13.7; D13.9; D19.1; D20.0; D20.1; D37.0; D37.1; D37.2; D37.3; D37.4; D37.5; D37.6; D37.7; D37.9; D48.3; D48.4; K31.7; K62.0; K62.1; K63.5
D79,injury,D.7,Foreign body digestive system,外来体消化系统,Foreign body digestive system,外来体消化系统,"foreign body swallowed/in digestive tract, including mouth, oesophagus, rectum",,foreign body in throat/inhaled ,咽异物/吸入异物,,,,,,,T18.0; T18.1; T18.2; T18.3; T18.4; T18.5; T18.8; T18.9
D80,injury,D.7,Injury digestive system other,其他消化系统损伤,Injury digestive system other,其他消化系统损伤,injury to abdominal organ; injury to teeth; injury to tongue,腹部器官损伤；牙齿损伤；舌损伤,multiple organ injuries ,多器官损伤,,,,,,,S00.5; S01.5; S02.5; S03.2; S10.0; S36.1; S36.2; S36.3; S36.4; S36.5; S36.6; T28.0; T28.1; T28.2; T28.5; T28.6; T28.7
D81,congenital,D.7,Congenital anomaly digestive system,先天性消化系统畸形,Congenital anomaly digestive system,先天性消化系统畸形,biliary anomaly; cleft lip/palate; Hirschprung's disease; Meckel's diverticulum; megacolon; oesophageal atresia; pyloric stenosis; tongue-tie,胆道异常；唇裂/腭裂；赫希连格病；梅克尔憩室；巨结肠；食管闭锁；幽门狭窄；舌系带过紧,haemangioma/lymphangioma ,血管瘤/淋巴管瘤,,,,,,,K00.5; Q18.0; Q18.1; Q18.2; Q18.3; Q18.4; Q18.5; Q18.6; Q18.7; Q18.8; Q18.9; Q35.1; Q35.3; Q35.5; Q35.7; Q35.9; Q36.0; Q36.1; Q36.9; Q37.0; Q37.1; Q37.2; Q37.3; Q37.4; Q37.5; Q37.8; Q37.9; Q38.0; Q38.1; Q38.2; Q38.3; Q38.4; Q38.5; Q38.6; Q38.7; Q38.8; Q39.0; Q39.1; Q39.2; Q39.3; Q39.4; Q39.5; Q39.6; Q39.8; Q39.9; Q40.0; Q40.1; Q40.2; Q40.3; Q40.8; Q40.9; Q41.0; Q41.1; Q41.2; Q41.8; Q41.9; Q42.0; Q42.1; Q42.2; Q42.3; Q42.8; Q42.9; Q43.0; Q43.1; Q43.2; Q43.3; Q43.4; Q43.5; Q43.6; Q43.7; Q43.8; Q43.9; Q44.0; Q44.1; Q44.2; Q44.3; Q44.4; Q44.5; Q44.6; Q44.7; Q45.0; Q45.1; Q45.2; Q45.3; Q45.8; Q45.9
D82,otherDiagnosis,D.7,Teeth/gum disease,牙/龈疾病,Teeth/gum disease,牙/龈疾病,caries; dental abscess; gingivitis; malocclusion; temporomandibular joint disorder,龋齿；牙槽脓肿；牙龈炎；错颌；颞下颌关节紊乱症,teething/denture problem ,出牙/义齿问题,,,,,,,K00.0; K00.1; K00.2; K00.3; K00.4; K00.6; K00.8; K00.9; K01.0; K01.1; K02.0; K02.1; K02.2; K02.3; K02.4; K02.5; K02.8; K02.9; K03.0; K03.1; K03.2; K03.3; K03.4; K03.5; K03.9; K04.0; K04.1; K04.2; K04.3; K04.4; K04.5; K04.6; K04.7; K04.8; K04.9; K05.0; K05.1; K05.2; K05.3; K05.4; K05.5; K05.6; K06.0; K06.1; K06.2; K06.8; K06.9; K07.0; K07.1; K07.2; K07.3; K07.4; K07.5; K07.8; K07.9; K08.0; K08.1; K08.2; K08.3; K08.8; K08.9; K09.0; K09.1; K09.8; K09.9; K10.0; K10.2; K10.3; K10.8
D83,otherDiagnosis,D.7,Mouth/tongue/lip disease,口腔/舌/唇疾病,Mouth/tongue/lip disease,口腔/舌/唇疾病,aphthous ulcer; cheilosis; glossitis; mucocoele; oral thrush; parotitis; salivary calculus; stomatitis; Vincent's angina,aphthous ulcer; 口腔复发性溃疡; cheilosis; 唇炎; glossitis; 舌炎; mucocoele; 黏液囊肿; oral thrush; 鹅口疮; parotitis; 腮腺炎; salivary calculus; 涎石症; stomatitis; 口炎; Vincent's angina; 咽峡炎,mumps ,流行性腮腺炎,,,,,,,A69.0; A69.1; B00.2; B37.0; K11.0; K11.1; K11.2; K11.3; K11.4; K11.5; K11.6; K11.7; K11.8; K11.9; K12.0; K12.1; K12.2; K12.3; K13.0; K13.2; K13.3; K13.4; K13.5; K13.6; K13.7; K14.0; K14.2; K14.3; K14.4; K14.8; K14.9
D84,otherDiagnosis,D.7,Oesophagus disease,食管疾病,Oesophagus disease,食管疾病,achalasia; Mallory-Weiss syndrome; oesophagial diverticulum; oesophagitis; oesophagus ulceration; reflux,失弛缓症；马洛里-魏斯综合征；食管憩室；食管炎；食管溃疡；反流,cancer of oesophagus ,食管癌,,,,,,,K20; K21.0; K21.9; K22.0; K22.1; K22.2; K22.3; K22.4; K22.5; K22.6; K22.7; K22.8; K22.9; K23.0; K23.1; K23.8
D85,otherDiagnosis,D.7,Duodenal ulcer,十二指肠溃疡,Duodenal ulcer,十二指肠溃疡,bleeding/obstructing/perforated ulcer,出血/梗阻/穿孔性溃疡,,,characteristic imaging findings; or characteristic endoscopy findings; or exacerbation of symptoms in a patient with a previously proven duodenal ulcer,特征性影像学表现；或特征内镜检查所见；或既往确诊为十二指肠溃疡患者的症状加重,heartburn ,胃灼热,,,K26.0; K26.1; K26.2; K26.3; K26.4; K26.5; K26.6; K26.7; K26.9
D86,otherDiagnosis,D.7,Peptic ulcer other,消化性溃疡其他部位,Peptic ulcer other,消化性溃疡其他部位,acute erosion; gastric/gastrojejunal/marginal ulcer; Zollinger-Ellison syndrome,急性侵蚀；胃/胃空肠/边缘性溃疡；Zollinger-Ellison综合征,oesophageal ulcer ,食管溃疡,characteristic imaging/endoscopy findings; or exacerbation of symptoms in a patient with a previously proven ulcer,特征性影像学/内镜检查发现；或既往确诊溃疡患者的症状加重,heartburn ,胃灼热,,,E16.4; K25.0; K25.1; K25.2; K25.3; K25.4; K25.5; K25.6; K25.7; K25.9; K27.0; K27.1; K27.2; K27.3; K27.4; K27.5; K27.6; K27.7; K27.9; K28.0; K28.1; K28.2; K28.3; K28.4; K28.5; K28.6; K28.7; K28.9
D87,otherDiagnosis,D.7,Stomach function disorder,胃功能紊乱,Stomach function disorder,胃功能紊乱,acute dilatation stomach; duodenitis; gastritis,急性胃扩张；十二指肠炎；胃炎,gastrointestinal infection ,胃肠感染,disorder of stomach function proven by investigation,胃功能紊乱，经检查证实,abdominal pain ,腹痛,,,B98.0; K29.0; K29.1; K29.2; K29.3; K29.4; K29.5; K29.6; K29.7; K29.8; K29.9; K31.0; K31.1; K31.2; K31.3; K31.4; K31.5; K31.6; K31.8; K31.9
D88,otherDiagnosis,D.7,Appendicitis,阑尾炎,Appendicitis,阑尾炎,appendix abscess/perforation,阑尾脓肿/穿孔,,,"objective evidence of inflammation of the appendix, such as demonstrated at operation or pathological examination",阑尾炎症的客观证据，例如手术或病理检查所见,abdominal pain ,腹痛,,,K35.2; K35.3; K35.8; K36; K37
D89,otherDiagnosis,D.7,Inguinal hernia,腹股沟疝,Inguinal hernia,腹股沟疝,,,femoral hernia ,股疝,"swelling in the inguinal region and transmitted impulse with cough, or enlargement on straining, or swelling reducible into the abdomen, or intestinal obstruction",腹股沟区域肿胀，伴随咳嗽时的冲动传导，或用力时增大，或可回纳至腹部，或肠梗阻,abdominal mass ,腹部肿块,,,K40.0; K40.1; K40.2; K40.3; K40.4; K40.9
D90,otherDiagnosis,D.7,Hiatus hernia,食管裂孔疝,Hiatus hernia,食管裂孔疝,diaphragmatic hernia,膈疝,oesophagitis/reflux ,食管炎/反流性疾病,characteristic findings on imaging/endoscopy/intraluminal pressure studies/surgery,影像学/内镜/腔内压力检查/手术的特征性发现,epigastric pain ,上腹痛,,,K44.0; K44.1; K44.9
D91,otherDiagnosis,D.7,Abdominal hernia other,腹部其他疝气,Abdominal hernia other,腹部其他疝气,femoral/umbilical/ventral hernia,股疝/脐疝/白线疝,post-surgical hernia ,术后疝气,"demonstration at surgery; or swelling in the specified area and transmitted impulse with cough, or enlargement on straining, or reducible into the abdomen, or intestinal obstruction",手术中示证；或指定区域肿胀及咳嗽时冲动传导，或用力时增大，或可回纳入腹腔，或肠梗阻,abdominal mass ,腹部肿块,,,K41.0; K41.1; K41.2; K41.3; K41.4; K41.9; K42.0; K42.1; K42.9; K43.0; K43.1; K43.2; K43.3; K43.4; K43.5; K43.6; K43.7; K43.9; K45.0; K45.1; K45.8; K46.0; K46.1; K46.9
D92,otherDiagnosis,D.7,Diverticular disease,憩室病,Diverticular disease,憩室病,diverticulitis/diverticulosis of intestine,肠 diverticulitis/diverticulosis,Meckel's diverticulum ,梅克尔憩室,imaging demonstration of diverticula; or demonstration of diverticula at surgery; or acute abdominal pain with fever and palpable tender descending/sigmoid colon,影像学显示憩室；或手术中发现憩室；或急性腹痛伴发热及降结肠/乙状结肠触痛,abdominal pain ,腹痛,,,K57.0; K57.1; K57.2; K57.3; K57.4; K57.5; K57.8; K57.9
D93,otherDiagnosis,D.7,Irritable bowel syndrome,肠易激综合症,Irritable bowel syndrome,肠易激综合症,mucous colitis; spastic colon,黏液结肠炎；痉挛性结肠,gastrointestinal infection ,胃肠感染,"continuous/intermittent abdominal pain and variable bowel pattern over a period of time; and increased gas, or tender and palpable colon, or history of mucous without blood in stool",持续性/间歇性腹痛及一段时间内的排便模式改变；以及气体增多，或触痛明显的结肠，或既往有无血黏液史,abdominal pain ,腹痛,,,K58.0; K58.9
D94,otherDiagnosis,D.7,Chronic enteritis/ulcerative colitis,慢性肠炎/溃疡性结肠炎,Chronic enteritis/ulcerative colitis,慢性肠炎/溃疡性结肠炎,Crohn's disease; regional enteritis; ulcerative colitis,克罗恩病；区域性肠炎；溃疡性结肠炎,,,characteristic endoscopic/imaging/histological findings,特征内镜/影像学/组织病理学表现,abdominal pain ,腹痛,,,K50.0; K50.1; K50.8; K50.9; K51.0; K51.2; K51.3; K51.4; K51.5; K51.8; K51.9
D95,otherDiagnosis,D.7,Anal fissure/perianal abscess,肛门裂/肛周脓肿,Anal fissure/perianal abscess,肛门裂/肛周脓肿,anal fistula; ischiorectal abscess,肛瘘；坐骨直肠窝脓肿,pilonidal abscess ,pilonidal脓肿,,,,,,,K60.0; K60.1; K60.2; K60.3; K60.4; K60.5; K61.0; K61.1; K61.2; K61.3; K61.4
D96,otherDiagnosis,D.7,Worms/other parasites,蠕虫/其他寄生虫,Worms/other parasites,蠕虫/其他寄生虫,cestodes; creeping eruption; hydatid disease; intestinal parasites unspecified; trichiniasis,cestodes；游走性皮炎；棘球蚴病；未特指的肠道寄生虫病；旋毛虫病,,,"either demonstration of helminth in adult form, larvae, or ova; or positive skin tests; or positive serology",成虫、幼虫或卵的检出；或皮肤试验阳性；或血清学检查阳性,,,,,B65.0; B65.1; B65.2; B65.3; B65.8; B65.9; B66.0; B66.1; B66.2; B66.3; B66.4; B66.5; B66.8; B66.9; B67.0; B67.1; B67.2; B67.3; B67.4; B67.5; B67.6; B67.7; B67.8; B67.9; B68.0; B68.1; B68.9; B69.0; B69.1; B69.8; B69.9; B70.0; B70.1; B71.0; B71.1; B71.8; B71.9; B72; B73; B74.0; B74.1; B74.2; B74.3; B74.4; B74.8; B74.9; B75; B76.0; B76.1; B76.8; B76.9; B77.0; B77.8; B77.9; B78.0; B78.1; B78.7; B78.9; B79; B80; B81.0; B81.1; B81.2; B81.3; B81.4; B81.8; B82.0; B82.9; B83.0; B83.1; B83.2; B83.3; B83.4; B83.8; B83.9
D97,otherDiagnosis,D.7,Liver disease NOS,肝病 NOS,Liver disease NOS,肝病 NOS,alcohol hepatitis; cirrhosis; fatty liver; hepatitis NOS; liver failure; portal hypertension,酒精性肝炎；肝硬化；脂肪肝；肝炎NOS；肝功能衰竭；门脉高压症,viral hepatitis ,病毒性肝炎,,,,,,,B58.1; B94.2; K70.0; K70.1; K70.2; K70.3; K70.4; K70.9; K71.0; K71.1; K71.2; K71.3; K71.4; K71.5; K71.6; K71.7; K71.8; K71.9; K72.0; K72.1; K72.9; K73.0; K73.1; K73.2; K73.8; K73.9; K74.0; K74.1; K74.2; K74.3; K74.4; K74.5; K74.6; K75.0; K75.1; K75.2; K75.3; K75.4; K75.8; K75.9; K76.0; K76.1; K76.2; K76.3; K76.4; K76.5; K76.6; K76.7; K76.8; K76.9; K77.0; K77.8
D98,otherDiagnosis,D.7,Cholecystitis/cholelithiasis,胆囊炎/胆石症,Cholecystitis/cholelithiasis,胆囊炎/胆石症,biliary colic; cholangitis; gallstones,胆绞痛；胆管炎；胆结石,,,"cholecystitis: demonstration of typical pathology by ultrasound or surgery; or localized right upper quadrant tenderness and jaundice or fever or history of gall stones; - cholelithiasis: imaging or surgical demonstration of gall stones; - acute biliary colic: acute colicky right upper quadrant abdominal pain without fever; and jaundice or right upper quadrant abdominal tenderness, or history of gall stones","胆囊炎：超声或手术显示典型病理改变；或右上腹局部压痛和黄疸或发热或有胆石史；
- 胆石症：影像学或手术证实胆石；
- 急性胆道绞痛：无发热的急性右上腹阵发性疼痛，并伴有黄疸或右上腹压痛，或有胆石史",localized abdominal pain ,局限性腹痛,,,K80.0; K80.1; K80.2; K80.3; K80.4; K80.5; K80.8; K81.0; K81.1; K81.8; K81.9; K82.0; K82.1; K82.2; K82.3; K82.4; K82.8; K82.9; K83.0; K83.1; K83.2; K83.3; K83.4; K83.5; K83.8; K83.9; K87.0
D99,otherDiagnosis,D.7,Disease digestive system other,其他消化系统疾病,Disease digestive system other,其他消化系统疾病,abdominal adhesions; allergic/toxic/dietetic gastroenteropathy; coeliac disease; dumping syndrome; food intolerance; ileus; intestinal obstruction; intussuception; lactose intolerance; malabsorption syndrome; mesenteric vascular disease; pancreatic disease; peritonitis; secondary megacolon; sprue,腹膜粘连；过敏性/毒性/饮食性胃肠病；乳糜泻；倾倒综合征；食物不耐受；肠梗阻（麻痹性）；肠梗阻；肠套叠；乳糖不耐受；吸收不良综合征；肠系膜血管疾病；胰腺疾病；腹膜炎；继发性巨结肠；春样病,antibiotic associated colitis ,抗生素相关性结肠炎,,,,,,,K38.0; K38.1; K38.2; K38.3; K38.8; K38.9; K52.1; K52.2; K52.3; K52.8; K52.9; K55.0; K55.1; K55.2; K55.8; K55.9; K56.0; K56.1; K56.2; K56.3; K56.5; K56.6; K56.7; K59.2; K59.3; K59.8; K59.9; K62.2; K62.3; K62.4; K62.6; K62.7; K62.8; K62.9; K63.0; K63.1; K63.2; K63.3; K63.4; K63.8; K63.9; K65.0; K65.8; K65.9; K66.0; K66.1; K66.8; K66.9; K67.0; K67.1; K67.2; K67.3; K67.8; K85.0; K85.1; K85.2; K85.3; K85.8; K85.9; K86.0; K86.1; K86.2; K86.3; K86.8; K86.9; K87.1; K90.0; K90.1; K90.2; K90.3; K90.4; K90.8; K90.9; K91.1; K91.2; K91.5; K91.8; K91.9; K92.2; K92.8; K92.9; K93.0; K93.1; K93.8; Z90.3; Z90.4; Z98.0
F01,symptom,F.1,Eye pain,眼痛,Eye pain,眼痛,,,abnormal eye sensations ,"异常眼感覚

注：根据上下文，更准确的表述可能是“异常眼部感觉”或“异常视觉感受”，请确认具体语境。但由于要求直接翻译且不添加解释，此处提供最直译的答案。如果需要专业校正，请告知。不过按照最初的指示，“异常眼感覚”可能不是标准中文医学术语表达方式，更合适的应为：

异常眼部感觉",,,,,,,H57.1
F02,symptom,F.1,Red eye,红眼,Red eye,红眼,bloodshot/inflamed eye,红眼/充血性眼睛,,,,,,,,,H57.8
F03,symptom,F.1,Eye discharge,眼分泌物,Eye discharge,眼分泌物,lacrimation; purulent discharge; watery eye,泪液分泌；脓性分泌物；水眼,,,,,,,,,H04.2
F04,symptom,F.1,Visual floaters/spots,眼前漂浮物,Visual floaters/spots,眼前漂浮物,fixed/floating spots in the visual field,视野中固定的/漂浮的点,other visual disturbance ,其他视觉障碍,,,,,,,H53.1
F05,symptom,F.1,Visual disturbance other,视觉障碍其他未特指,Visual disturbance other,视觉障碍其他未特指,blurred vision; difficulty reading; diplopia; eye strain; photophobia; scotoma and dazzle when symptoms confined to eyes; temporary blindness NOS; visual loss; weak eyes,视力模糊；阅读困难；复视；眼疲劳；畏光；当症状局限于眼睛时出现视野缺损和眩光；暂时性失明NOS；视力丧失；弱视,blindness one eye ,一眼盲,,,,,,,H53.1; H53.2; H53.3; H53.8; H53.9
F13,symptom,F.1,Eye sensation abnormal,眼感觉异常,Eye sensation abnormal,眼感觉异常,burning/dry/itchy eye,灼烧感/干燥/瘙痒的眼部,eye pain ,眼痛,,,,,,,H57.8
F14,symptom,F.1,Eye movements abnormal,异常眼动,Eye movements abnormal,异常眼动,nystagmus,眼球震颤,squint ,斜视,,,,,,,H55
F15,symptom,F.1,Eye appearance abnormal,眼外观异常,Eye appearance abnormal,眼外观异常,change eye colour; swollen eye,改变眼色；眼肿胀,red eye ,红眼,,,,,,,H57.8
F16,symptom,F.1,Eyelid symptom/complaint,眼睑症状/主诉,Eyelid symptom/complaint,眼睑症状/主诉,abnormal blinking; ptosis eyelid,异常眨眼；眼睑下垂,inflamed eyelid ,红肿的眼睑,,,,,,,H02.2; H02.3; H02.4; H02.5; H02.6; H02.7
F17,symptom,F.1,Glasses symptom/complaint,眼镜症状/主诉,Glasses symptom/complaint,眼镜症状/主诉,"problems due to spectacles affecting structure, function or sensations of eye(s)",由于眼镜影响眼睛结构、功能或感觉的问题,contact lens symptom/complaint ,接触镜症状/主诉,,,,,,,Z46.0
F18,symptom,F.1,Contact lens symptom/complaint,接触镜症状/主诉,Contact lens symptom/complaint,接触镜症状/主诉,"problems due to contact lens affecting structure, function or sensations of eye(s)",由于接触镜引起的眼睛结构、功能或感觉异常问题,,,,,,,,,Z46.0
F27,symptom,F.1,Fear of eye disease,畏眼病,Fear of eye disease,畏眼病,fear of blindness,恐盲症,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of eye disease in a patient without the disease/until the diagnosis is proven,无眼部疾病患者的担忧/对眼部疾病的恐惧/直至诊断明确,,,,,Z71.1
F28,symptom,F.1,Limited function/disability (F),有限功能/残疾 (F),Limited function/disability (F),有限功能/残疾 (F),blindness one eye,一眼盲,blindness ,失明,limitation of function/disability due to a problem with vision/eye(s),视力/眼睛问题所致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,H54.4; H54.5; H54.6; H54.9; Z73.6
F29,symptom,F.1,Eye symptom/complaint other,其他眼部症状/主诉,Eye symptom/complaint other,其他眼部症状/主诉,,,,,,,,,,,H57.8; H57.9
F70,infection,F.7,Conjunctivitis infectious,感染性结膜炎,Conjunctivitis infectious,感染性结膜炎,bacterial conjunctivitis; conjunctivitis NOS; viral conjunctivitis,细菌性结膜炎；结膜炎 NOS；病毒性结膜炎,allergic conjunctivitis with/without rhinorrhoea ,过敏性结膜炎伴或不伴有流涕,presumed or proven infectious inflammation of conjunctiva,假定或证实的结膜感染性炎症,,,,,A74.0; B30.0; B30.1; B30.2; B30.3; B30.8; B30.9; H10.0; H10.2; H10.3; H10.4; H10.5; H10.8; H10.9; H13.0; H13.1; H13.2; H13.3; H13.8
